종목코드,종목명,시장구분,업종명,시가총액
000020,동화약품,KOSPI,의약품,281269902900
000040,KR모터스,KOSPI,운수장비,63739802295
000050,경방,KOSPI,유통업,282651433700
000070,삼양홀딩스,KOSPI,기타금융,630330345600
000075,삼양홀딩스우,KOSPI,기타금융,16814407400
000080,하이트진로,KOSPI,음식료품,1588526289150
000087,하이트진로2우B,KOSPI,음식료품,18816797700
000100,유한양행,KOSPI,의약품,4682621942700
000105,유한양행우,KOSPI,의약품,65542170000
000120,CJ대한통운,KOSPI,운수창고업,1845518629600
000140,하이트진로홀딩스,KOSPI,기타금융,223713214600
000145,하이트진로홀딩스우,KOSPI,기타금융,6064032800
000150,두산,KOSPI,기타금융,1640816815500
000155,두산우,KOSPI,기타금융,229396918800
000157,두산2우B,KOSPI,기타금융,83320445400
000180,성창기업지주,KOSPI,서비스업,141595748000
000210,DL,KOSPI,화학,972353017600
000215,DL우,KOSPI,화학,47632748750
000220,유유제약,KOSPI,의약품,94605606990
000225,유유제약1우,KOSPI,의약품,13805603700
000227,유유제약2우B,KOSPI,의약품,4378782000
000230,일동홀딩스,KOSPI,의약품,133868640000
000240,한국앤컴퍼니,KOSPI,기타금융,1155361870800
000250,삼천당제약,KOSDAQ,제약,1432447907400
000270,기아,KOSPI,운수장비,34254166095600
000300,대유플러스,KOSPI,전기전자,108898896600
000320,노루홀딩스,KOSPI,기타금융,136898855300
000325,노루홀딩스우,KOSPI,기타금융,5199984650
000370,한화손해보험,KOSPI,보험,496724083325
000390,삼화페인트,KOSPI,화학,173558132220
000400,롯데손해보험,KOSPI,보험,537502506240
000430,대원강업,KOSPI,운수장비,270940000000
000440,중앙에너비스,KOSDAQ,유통,120183609000
000480,조선내화,KOSPI,비금속광물,361600000000
000490,대동,KOSPI,기계,288384865700
000500,가온전선,KOSPI,전기전자,119674987320
000520,삼일제약,KOSPI,의약품,110471811520
000540,흥국화재,KOSPI,보험,206540103675
000545,흥국화재우,KOSPI,보험,4354560000
000547,흥국화재2우B,KOSPI,보험,2574336000
000590,CS홀딩스,KOSPI,기타금융,70769746600
000640,동아쏘시오홀딩스,KOSPI,기타금융,569497496100
000650,천일고속,KOSPI,운수창고업,75748660000
000660,SK하이닉스,KOSPI,전기전자,80298660859500
000670,영풍,KOSPI,철강금속,1000227720000
000680,LS네트웍스,KOSPI,유통업,222618520200
000700,유수홀딩스,KOSPI,서비스업,175782231000
000720,현대건설,KOSPI,건설업,4253790223000
000725,현대건설우,KOSPI,건설업,76992589000
000760,이화산업,KOSPI,유통업,71820000000
000810,삼성화재,KOSPI,보험,10801462836000
000815,삼성화재우,KOSPI,보험,544236000000
000850,화천기공,KOSPI,기계,85580000000
000860,강남제비스코,KOSPI,화학,155675000000
000880,한화,KOSPI,화학,2301233164500
000885,한화우,KOSPI,화학,17038901700
00088K,한화3우B,KOSPI,화학,344945200000
000890,보해양조,KOSPI,음식료품,84167678045
000910,유니온,KOSPI,비금속광물,113652586320
000950,전방,KOSPI,섬유의복,55440000000
000970,한국주철관,KOSPI,철강금속,168723700000
000990,DB하이텍,KOSPI,전기전자,2810430620400
000995,DB하이텍1우,KOSPI,전기전자,8637100400
001000,신라섬유,KOSDAQ,유통,50375895500
001020,페이퍼코리아,KOSPI,종이목재,51895389710
001040,CJ,KOSPI,기타금융,2558822724600
001045,CJ우,KOSPI,기타금융,113463194600
00104K,CJ4우(전환),KOSPI,기타금융,300082352000
001060,JW중외제약,KOSPI,의약품,529772835200
001065,JW중외제약우,KOSPI,의약품,10663335000
001067,JW중외제약2우B,KOSPI,의약품,13116849200
001070,대한방직,KOSPI,섬유의복,282490000000
001080,만호제강,KOSPI,철강금속,273070000000
001120,LX인터내셔널,KOSPI,유통업,1187994000000
001130,대한제분,KOSPI,음식료품,236093000000
001140,국보,KOSPI,운수창고업,78360028200
001200,유진투자증권,KOSPI,증권,354531089880
001210,금호전기,KOSPI,전기전자,31754103566
